feature,importance
remainder__ADULTS_COUNT_MISSING,0.0
remainder__FLAG_CONT_MOBILE,0.0
remainder__EXT_SOURCE_MAX_MISSING,0.0
remainder__CHILDREN_RATIO_MISSING,0.0
remainder__CREDIT_TERM_MONTHS_MISSING,0.0
remainder__CREDIT_GOODS_RATIO_MISSING,0.0
remainder__CREDIT_GOODS_DIFF_MISSING,0.0
remainder__GOODS_INCOME_RATIO_MISSING,0.0
remainder__FLAG_DOCUMENT_13,0.0
remainder__FLAG_DOCUMENT_12,0.0
remainder__FLAG_DOCUMENT_11,0.0
remainder__FLAG_DOCUMENT_10,0.0
remainder__FLAG_DOCUMENT_9,0.0
remainder__FLAG_DOCUMENT_7,0.0
remainder__FLAG_DOCUMENT_4,0.0
remainder__FLAG_DOCUMENT_2,0.0
onehotencoder__ORGANIZATION_TYPE_University,0.0
remainder__ELEVATORS_MEDI,0.0
onehotencoder__ORGANIZATION_TYPE_Transport: type 4,0.0
onehotencoder__ORGANIZATION_TYPE_Trade: type 2,0.0
onehotencoder__ORGANIZATION_TYPE_Trade: type 4,0.0
onehotencoder__ORGANIZATION_TYPE_Trade: type 5,0.0
onehotencoder__ORGANIZATION_TYPE_Trade: type 6,0.0
onehotencoder__ORGANIZATION_TYPE_Transport: type 1,0.0
onehotencoder__WALLSMATERIAL_MODE_Missing,0.0
onehotencoder__HOUSETYPE_MODE_terraced house,0.0
onehotencoder__WALLSMATERIAL_MODE_Monolithic,0.0
onehotencoder__WALLSMATERIAL_MODE_Wooden,0.0
onehotencoder__ORGANIZATION_TYPE_Telecom,0.0
onehotencoder__ORGANIZATION_TYPE_Trade: type 1,0.0
remainder__FLAG_DOCUMENT_20,0.0
remainder__FLAG_DOCUMENT_15,0.0
onehotencoder__ORGANIZATION_TYPE_Police,0.0
remainder__FLAG_DOCUMENT_21,0.0
onehotencoder__ORGANIZATION_TYPE_Hotel,0.0
remainder__FLAG_DOCUMENT_14,0.0
remainder__FLAG_DOCUMENT_17,0.0
onehotencoder__ORGANIZATION_TYPE_Kindergarten,0.0
onehotencoder__ORGANIZATION_TYPE_Medicine,0.0
remainder__FLAG_DOCUMENT_16,0.0
onehotencoder__ORGANIZATION_TYPE_Insurance,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 8,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 7,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 6,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 5,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 4,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 2,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 13,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 11,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 10,0.0
onehotencoder__ORGANIZATION_TYPE_Industry: type 1,0.0
onehotencoder__ORGANIZATION_TYPE_Housing,0.0
remainder__AMT_REQ_CREDIT_BUREAU_HOUR,0.0
onehotencoder__ORGANIZATION_TYPE_Culture,0.0
onehotencoder__ORGANIZATION_TYPE_Advertising,0.0
onehotencoder__ORGANIZATION_TYPE_Agriculture,0.0
onehotencoder__OCCUPATION_TYPE_Realty agents,0.0
onehotencoder__OCCUPATION_TYPE_Private service staff,0.0
onehotencoder__ORGANIZATION_TYPE_Government,0.0
onehotencoder__OCCUPATION_TYPE_IT staff,0.0
onehotencoder__ORGANIZATION_TYPE_Emergency,0.0
onehotencoder__ORGANIZATION_TYPE_Electricity,0.0
onehotencoder__ORGANIZATION_TYPE_Cleaning,0.0
onehotencoder__OCCUPATION_TYPE_Secretaries,0.0
onehotencoder__NAME_FAMILY_STATUS_Widow,0.0
onehotencoder__ORGANIZATION_TYPE_Postal,0.0
onehotencoder__ORGANIZATION_TYPE_Religion,0.0
onehotencoder__ORGANIZATION_TYPE_Restaurant,0.0
onehotencoder__ORGANIZATION_TYPE_Services,0.0
remainder__FLAG_DOCUMENT_18,0.0
remainder__FLAG_DOCUMENT_19,0.0
onehotencoder__ORGANIZATION_TYPE_Mobile,0.0
remainder__AMT_GOODS_PRICE_MISSING,0.0
remainder__AMT_ANNUITY_MISSING,0.0
onehotencoder__OCCUPATION_TYPE_HR staff,0.0
onehotencoder__OCCUPATION_TYPE_Cooking staff,0.0
onehotencoder__OCCUPATION_TYPE_Cleaning staff,0.0
onehotencoder__OCCUPATION_TYPE_Waiters/barmen staff,0.0
onehotencoder__NAME_FAMILY_STATUS_Unknown,0.0
remainder__EXT_SOURCE_2_MISSING,0.0
remainder__COMMONAREA_AVG_MISSING,0.0
remainder__ENTRANCES_AVG_MISSING,0.0
remainder__FLOORSMAX_AVG_MISSING,0.0
remainder__FLOORSMIN_AVG_MISSING,0.0
remainder__LIVINGAREA_AVG_MISSING,0.0
remainder__CNT_FAM_MEMBERS_MISSING,0.0
remainder__BASEMENTAREA_AVG_MISSING,0.0
remainder__DAYS_EMPLOYED_MISSING,0.0
remainder__BASEMENTAREA_MODE_MISSING,0.0
remainder__APARTMENTS_MODE_MISSING,0.0
remainder__NONLIVINGAPARTMENTS_AVG_MISSING,0.0
remainder__COMMONAREA_MODE_MISSING,0.0
remainder__ENTRANCES_MODE_MISSING,0.0
remainder__FLOORSMAX_MODE_MISSING,0.0
remainder__FLOORSMIN_MODE_MISSING,0.0
remainder__YEARS_BEGINEXPLUATATION_MODE_MISSING,0.0
remainder__LIVINGAPARTMENTS_MODE_MISSING,0.0
remainder__LIVINGAREA_MODE_MISSING,0.0
remainder__NONLIVINGAREA_MODE_MISSING,0.0
remainder__NONLIVINGAPARTMENTS_MODE_MISSING,0.0
remainder__APARTMENTS_MEDI_MISSING,0.0
remainder__BASEMENTAREA_MEDI_MISSING,0.0
remainder__YEARS_BEGINEXPLUATATION_MEDI_MISSING,0.0
remainder__OWN_CAR_AGE_MISSING,0.0
remainder__YEARS_BUILD_MEDI_MISSING,0.0
remainder__ELEVATORS_MEDI_MISSING,0.0
remainder__FLOORSMAX_MEDI_MISSING,0.0
remainder__ENTRANCES_MEDI_MISSING,0.0
remainder__FLOORSMIN_MEDI_MISSING,0.0
